utc_time,local_time,pm25_value,coverage
2022-10-04 18:00:00+00:00,2022-10-05 01:00:00+07:00,20.0,1
2023-05-06 23:00:00+00:00,2023-05-07 06:00:00+07:00,32.0,1
2023-05-07 00:00:00+00:00,2023-05-07 07:00:00+07:00,21.0,1
2023-05-07 01:00:00+00:00,2023-05-07 08:00:00+07:00,26.0,1
2023-05-07 02:00:00+00:00,2023-05-07 09:00:00+07:00,24.0,1
